sensorid;Column5;djup[mˆh];placering;typ;filtrerad
A81758FFFE04CDD8;2021-09-24 12:30;27.977;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 12:45;27.985;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 13:00;27.98;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 13:15;27.966;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 13:30;27.95;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 13:45;27.964;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 14:00;27.954;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 14:15;27.961;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 14:30;27.958;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 14:45;27.95;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 15:00;27.944;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 15:15;27.957;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 15:30;27.949;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 15:45;27.948;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 16:00;27.94;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 16:15;27.964;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 16:30;27.952;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 16:45;27.95;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 17:00;27.951;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 17:15;27.952;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 17:30;26.749;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 17:45;27.966;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 18:00;27.971;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 18:15;27.927;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 18:30;28.009;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 18:45;28.007;Ankdammen;NivÂ;FALSE
